Player 1,Player 2,Player_1_Win,,Player 1,Player 2,Player_1_Win
Milos Raonic,Roger Federer,1,,Roger Federer,Milos Raonic,0
Roger Federer,Dominic Thiem,1,,Roger Federer,Dominic Thiem,1
Milos Raonic,Bernard Tomic,1,,Bernard Tomic,Milos Raonic,0
Roger Federer,Grigor Dimitrov,1,,Roger Federer,Grigor Dimitrov,1
Dominic Thiem,Marin Cilic,1,,Marin Cilic,Dominic Thiem,0
Milos Raonic,Lucas Pouille,1,,Milos Raonic,Lucas Pouille,1
Bernard Tomic,Kei Nishikori,1,,Kei Nishikori,Bernard Tomic,0
Roger Federer,Tobias Kamke,1,,Roger Federer,Tobias Kamke,1
Grigor Dimitrov,Viktor Troicki,1,,Viktor Troicki,Grigor Dimitrov,0
Marin Cilic,Hyeon Chung,1,,Marin Cilic,Hyeon Chung,1
Dominic Thiem,Denis Kudla,1,,Denis Kudla,Dominic Thiem,0
Lucas Pouille,David Goffin,1,,Lucas Pouille,David Goffin,1
Milos Raonic,Ivan Dodig,1,,Ivan Dodig,Milos Raonic,0
Bernard Tomic,Radek Stepanek,1,,Bernard Tomic,Radek Stepanek,1
Kei Nishikori,Mikhail Kukushkin,1,,Mikhail Kukushkin,Kei Nishikori,0
Tobias Kamke,Benjamin Mitchell,1,,Tobias Kamke,Benjamin Mitchell,1
Viktor Troicki,Steve Johnson,1,,Steve Johnson,Viktor Troicki,0
Grigor Dimitrov,Gilles Simon,1,,Grigor Dimitrov,Gilles Simon,1
Hyeon Chung,Samuel Groth,1,,Samuel Groth,Hyeon Chung,0
Denis Kudla,John Patrick Smith,1,,Denis Kudla,John Patrick Smith,1
Dominic Thiem,James Duckworth,1,,James Duckworth,Dominic Thiem,0
David Goffin,Thomaz Bellucci,1,,David Goffin,Thomaz Bellucci,1
Lucas Pouille,Yoshihito Nishioka,1,,Yoshihito Nishioka,Lucas Pouille,0
Ivan Dodig,Oliver Anderson,1,,Ivan Dodig,Oliver Anderson,1
Bernard Tomic,Nicolas Mahut,1,,Nicolas Mahut,Bernard Tomic,0
Radek Stepanek,Dusan Lajovic,1,,Radek Stepanek,Dusan Lajovic,1
Mikhail Kukushkin,Denis Istomin,1,,Denis Istomin,Mikhail Kukushkin,0
Stanislas Wawrinka,Borna Coric,1,,Stanislas Wawrinka,Borna Coric,1
Stanislas Wawrinka,Benoit Paire,1,,Benoit Paire,Stanislas Wawrinka,0
Borna Coric,Aljaz Bedene,1,,Borna Coric,Aljaz Bedene,1
Stanislas Wawrinka,Guillermo Garcia Lopez,1,,Guillermo Garcia Lopez,Stanislas Wawrinka,0
Benoit Paire,Thomas Fabbiano,1,,Benoit Paire,Thomas Fabbiano,1
Borna Coric,Roberto Bautista Agut,1,,Roberto Bautista Agut,Borna Coric,0
Aljaz Bedene,Ramkumar Ramanathan,1,,Aljaz Bedene,Ramkumar Ramanathan,1
Stanislas Wawrinka,Andrey Rublev,1,,Andrey Rublev,Stanislas Wawrinka,0
Guillermo Garcia Lopez,Ante Pavic,1,,Guillermo Garcia Lopez,Ante Pavic,1
Benoit Paire,Lukas Rosol,1,,Lukas Rosol,Benoit Paire,0
Thomas Fabbiano,Gilles Muller,1,,Thomas Fabbiano,Gilles Muller,1
Borna Coric,Austin Krajicek,1,,Austin Krajicek,Borna Coric,0
Roberto Bautista Agut,John Millman,1,,Roberto Bautista Agut,John Millman,1
Aljaz Bedene,Luca Vanni,1,,Luca Vanni,Aljaz Bedene,0
Ramkumar Ramanathan,Alexander Kudryavtsev,1,,Ramkumar Ramanathan,Alexander Kudryavtsev,1
Andrey Rublev,Somdev Devvarman,1,,Somdev Devvarman,Andrey Rublev,0
Ante Pavic,Nicolas Almagro,1,,Ante Pavic,Nicolas Almagro,1
Guillermo Garcia Lopez,Taro Daniel,1,,Taro Daniel,Guillermo Garcia Lopez,0
Lukas Rosol,Santiago Giraldo,1,,Lukas Rosol,Santiago Giraldo,1
Thomas Fabbiano,Jozef Kovalik,1,,Jozef Kovalik,Thomas Fabbiano,0
Gilles Muller,Karen Khachanov,1,,Gilles Muller,Karen Khachanov,1
Borna Coric,Marcel Granollers,1,,Marcel Granollers,Borna Coric,0
Austin Krajicek,Rajeev Ram,1,,Austin Krajicek,Rajeev Ram,1
John Millman,Evgeny Donskoy,1,,Evgeny Donskoy,John Millman,0
Aljaz Bedene,Vasek Pospisil,1,,Aljaz Bedene,Vasek Pospisil,1
Luca Vanni,Jan Lennard Struff,1,,Jan Lennard Struff,Luca Vanni,0
Ramkumar Ramanathan,Daniel Gimeno Traver,1,,Ramkumar Ramanathan,Daniel Gimeno Traver,1
Novak Djokovic,Rafael Nadal,1,,Rafael Nadal,Novak Djokovic,0
Novak Djokovic,Tomas Berdych,1,,Novak Djokovic,Tomas Berdych,1
Rafael Nadal,Illya Marchenko,1,,Illya Marchenko,Rafael Nadal,0
Novak Djokovic,Leonardo Mayer,1,,Novak Djokovic,Leonardo Mayer,1
Tomas Berdych,Kyle Edmund,1,,Kyle Edmund,Tomas Berdych,0
Illya Marchenko,Jeremy Chardy,1,,Illya Marchenko,Jeremy Chardy,1
Rafael Nadal,Andrey Kuznetsov,1,,Andrey Kuznetsov,Rafael Nadal,0
Novak Djokovic,Fernando Verdasco,1,,Novak Djokovic,Fernando Verdasco,1
Leonardo Mayer,Pablo Andujar,1,,Pablo Andujar,Leonardo Mayer,0
