,name,losses,wins
0,Adrian Mannarino,"['Steve Darcis', 'Andreas Seppi', 'John Isner', 'Dominic Thiem', 'Gael Monfils', 'Jack Sock', 'Andy Murray', 'Dominic Thiem', 'Donald Young', 'Bernard Tomic', 'Nicolas Mahut', 'Andy Murray', 'Guillermo Garcia Lopez', 'Marin Cilic', 'Rajeev Ram', 'Simone Bolelli', 'Feliciano Lopez', 'Bernard Tomic', 'Igor Sijsling', 'Go Soeda', 'John Isner', 'Marsel Ilhan', 'Marcel Granollers', 'Nicolas Mahut', 'Jiri Vesely', 'Pablo Andujar', 'Yen Hsun Lu', 'Ivo Karlovic', 'David Goffin', 'Jurgen Melzer']","['Michael Berrer', 'Mischa Zverev', 'Fabio Fognini', 'Ernests Gulbis', 'Albert Ramos', 'Stanislas Wawrinka', 'Rajeev Ram', 'Malek Jaziri', 'Ivo Karlovic', 'Yen Hsun Lu', 'Marco Chiudinelli', 'Konstantin Kravchuk', 'Lucas Pouille', 'Yan Bai', 'Tommy Haas', 'Edouard Roger Vasselin', 'Aljaz Bedene', 'Blaz Rola', 'Vincent Millot', 'Federico Delbonis', 'Roberto Bautista Agut', 'Alejandro Falla', 'Lucas Pouille', 'Carlos Berlocq', 'Eric Quigley', 'Denis Kudla', 'Yen Hsun Lu', 'Viktor Troicki']"
1,Adrian Menendez Maceiras,"['Paolo Lorenzi', 'Tim Smyczek', 'Bernard Tomic', 'Alejandro Falla']",['Alejandro Gonzalez']
2,Adrien Bossel,['Dustin Brown'],['Bye']
3,Albert Montanes,"['David Ferrer', 'Thomaz Bellucci', 'Pablo Cuevas', 'Dominic Thiem', 'Facundo Arguello', 'Daniel Brands', 'Florian Mayer', 'Gilles Muller']","['Ricardas Berankis', 'Facundo Arguello', 'Santiago Giraldo', 'Maximo Gonzalez', 'Gerald Melzer', 'Diego Sebastian Schwartzman', 'Martin Fischer']"
4,Albert Ramos,"['Nick Kyrgios', 'Jo Wilfried Tsonga', 'Pablo Andujar', 'Jo Wilfried Tsonga', 'Novak Djokovic', 'Adrian Mannarino', 'Stanislas Wawrinka', 'David Ferrer', 'Andreas Haider Maurer', 'Hyeon Chung', 'Diego Sebastian Schwartzman', 'Andrey Kuznetsov', 'Tommy Robredo', 'Nicolas Almagro', 'Fabio Fognini', 'David Ferrer', 'Novak Djokovic', 'Leonardo Mayer', 'Mikhail Kukushkin', 'Lucas Pouille', 'Thomaz Bellucci', 'Nick Kyrgios', 'Pablo Andujar']","['Sam Querrey', 'Roger Federer', 'Denis Istomin', 'Viktor Troicki', 'Julien Benneteau', 'Joao Sousa', 'Luca Vanni', 'Horacio Zeballos', 'Nicolas Almagro', 'Pablo Cuevas', 'Robin Haase', 'Guilherme Clezar', 'Paolo Lorenzi', 'Yen Hsun Lu', 'Marinko Matosevic', 'Benjamin Becker']"
5,Alejandro Falla,"['Robin Haase', 'Paolo Lorenzi', 'Peter Gojowczyk', 'Gilles Simon', 'Rajeev Ram', 'Jerzy Janowicz', 'Jan Hernych', 'Tomas Berdych', 'Philipp Kohlschreiber', 'Adrian Mannarino', 'Roger Federer']","['Joao Souza', 'Michael Berrer', 'Ivo Karlovic', 'Lukas Lacko', 'Adrian Menendez Maceiras', 'Jose Rubin Statham', 'Kenny De Schepper']"
6,Alejandro Gomez GB42,['Tatsuma Ito'],['Marcos Baghdatis']
7,Alejandro Gonzalez,"['Juan Monaco', 'Feliciano Lopez', 'Pablo Carreno Busta', 'Adrian Menendez Maceiras', 'Filip Krajinovic', 'Guillermo Garcia Lopez', 'Kei Nishikori', 'Steve Johnson', 'Michael Venus', 'Filip Krajinovic', 'Donald Young']","['Facundo Bagnis', 'Fabio Fognini', 'Sam Querrey']"
8,Aleksandr Nedovyesov,"['Mikhail Kukushkin', 'Viktor Troicki', 'Nikoloz Basilashvili', 'Lleyton Hewitt', 'Vasek Pospisil']",['Bye']
9,Alex Bolt,['Robin Haase'],['Bye']
10,Alexander Kudryavtsev,"['Marinko Matosevic', 'Lucas Pouille']",['Bye']
11,Alexander Sarkissian,['Malek Jaziri'],['John Millman']
12,Alexander Zverev,"['Tomas Berdych', 'Borna Coric', 'Denis Kudla', 'Jeremy Chardy', 'Roberto Bautista Agut', 'Lukas Rosol', 'Ivo Karlovic', 'Marsel Ilhan', 'Philipp Kohlschreiber', 'Marcos Baghdatis', 'Tommy Robredo', 'Philipp Kohlschreiber', 'Marin Cilic', 'Tommy Robredo', 'Fernando Verdasco', 'Gael Monfils', 'Viktor Troicki']","['Mikael Ymer', 'Teymuraz Gabashvili', 'Samuel Groth', 'Jarkko Nieminen', 'Mikhail Kukushkin', 'Thomaz Bellucci', 'Julian Reister', 'Juan Monaco', 'Thomaz Bellucci', 'Benjamin Becker', 'Yoshihito Nishioka', 'Kevin Anderson', 'Alexandr Dolgopolov', 'Mate Pavic']"
13,Alexandr Dolgopolov,"['Sam Querrey', 'Novak Djokovic', 'Borna Coric', 'David Ferrer', 'Ivo Karlovic', 'Grigor Dimitrov', 'Ernests Gulbis', 'Milos Raonic', 'Novak Djokovic', 'Bernard Tomic', 'Martin Klizan', 'Samuel Groth', 'Steve Johnson', 'Guillermo Garcia Lopez', 'Sam Querrey', 'Paolo Lorenzi', 'Kei Nishikori', 'Thanasi Kokkinakis', 'Alexander Zverev', 'Go Soeda', 'Guillermo Garcia Lopez', 'Gael Monfils', 'Philipp Kohlschreiber', 'Donald Young', 'Dusan Lajovic', 'Nicolas Almagro']","['Bernard Tomic', 'Jerzy Janowicz', 'Tomas Berdych', 'Jiri Vesely', 'Kyle Edmund', 'Sergiy Stakhovsky', 'Frank Dancevic', 'Santiago Giraldo', 'Ricardas Berankis', 'Tommy Robredo', 'Thomaz Bellucci', 'Carlos Berlocq', 'Rafael Nadal', 'Donald Young', 'Pablo Andujar', 'Dominic Thiem', 'Yen Hsun Lu', 'Samuel Groth', 'Andreas Haider Maurer', 'Tim Smyczek', 'Ivo Karlovic', 'Martin Klizan', 'Borna Coric', 'Teymuraz Gabashvili', 'Tim Smyczek']"
14,Alexandre Sidorenko,['Evgeny Donskoy'],['Bye']
15,Aljaz Bedene,"['Borna Coric', 'John Isner', 'Viktor Troicki', 'Stanislas Wawrinka', 'Donald Young', 'Hyeon Chung', 'Adrian Mannarino', 'Dennis Novak', 'Novak Djokovic', 'Vasek Pospisil', 'Pierre Hugues Herbert', 'Fabio Fognini', 'Jiri Vesely', 'Denis Istomin', 'Gilles Muller', 'Lukas Rosol', 'Dominic Thiem']","['Mate Delic', 'Marcel Granollers', 'Radek Stepanek', 'Lukas Lacko', 'Feliciano Lopez', 'Guillermo Garcia Lopez', 'Roberto Bautista Agut', 'Ernests Gulbis', 'Mikhail Youzhny', 'Diego Sebastian Schwartzman', 'Jeremy Chardy', 'Marco Cecchinato', 'Gilles Simon', 'Daniel Gimeno Traver', 'Roberto Bautista Agut', 'Maximo Gonzalez', 'Arthur De Greef']"
16,Andre Ghem,['Victor Estrella'],['Bye']
17,Andrea Arnaboldi,"['Jerzy Janowicz', 'David Goffin', 'Marin Cilic']",['James Duckworth']
18,Andreas Beck,['Edouard Roger Vasselin'],['Bye']
19,Andreas Haider Maurer,"['Dominic Thiem', 'Nick Kyrgios', 'Ivan Dodig', 'Ricardas Berankis', 'Gerald Melzer', 'David Goffin', 'Borna Coric', 'Borna Coric', 'Dustin Brown', 'Novak Djokovic', 'Simone Bolelli', 'Simone Bolelli', 'Kevin Anderson', 'David Ferrer', 'Santiago Giraldo', 'Dominic Thiem', 'John Isner', 'Alexandr Dolgopolov', 'Jiri Vesely', 'Novak Djokovic', 'Damir Dzumhur', 'Andrey Kuznetsov', 'Gael Monfils', 'Dominic Thiem', 'Jack Sock', 'Diego Sebastian Schwartzman']","['Thomas Fabbiano', 'Martin Klizan', 'Marcel Granollers', 'Jiri Vesely', 'Vasek Pospisil', 'Ivan Dodig', 'Albert Ramos', 'Tommy Robredo', 'Joao Souza', 'Joao Souza', 'Laurent Lokoli', 'Robin Haase', 'Ernests Gulbis', 'Bernard Tomic', 'Jan Lennard Struff', 'Pablo Andujar', 'Maximilian Marterer', 'Daniel Gimeno Traver', 'Jo Wilfried Tsonga']"
